baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,enrichment
297.5030549112117,-0.634185618931771,0.3640310033497464,0.023574216826653362,0.09952756073947612,PRR4,none
2554.9723105366506,0.6340508977101531,0.4583855996716115,0.03953927995410412,0.1428225387042494,ZNF710,none
71947.38402430897,-0.634024702674373,0.2880442424591774,0.009348492518139089,0.051365901825209885,CALM2,none
196.629381437743,0.633958269129957,0.5640837207065894,0.05228021754197135,0.1721297218897081,FBXL15,none
2087.405281981054,0.6337413112014771,0.5811975734936977,0.05411655566659881,0.1760163783597009,MMP24,none
1611.414136401753,-0.6336999058287522,0.5423690964714307,0.05003709154190177,0.16751529024050246,DPY19L2,none
4553.416103827472,-0.6335279908946213,0.398333932664867,0.03008909579559137,0.11830102303101567,AFTPH,none
4316.625428168145,0.6334498360400924,0.4930530558451973,0.04434910281194542,0.15432632954179723,PTCH1,none
4793.296763987701,-0.6331379404275632,0.3384403472988086,0.018803347731561785,0.08456487792085837,MGST3,none
44.58916251958254,-0.633044823239594,0.6450995799541555,0.06065233370896385,0.18976534778139814,CCR6,none
1892.8019064274406,-0.6330080643145386,0.42016825776477007,0.03396548311583341,0.12877658983702045,CHIC2,none
15183.18217244382,-0.6329635689624619,0.24284680991534519,0.0033424786611149985,0.023523934040692585,PFDN5,good
73.11053893290848,-0.6329121711727456,1.3114337036541122,0.1312489986914477,0.3149352951195893,QRFPR,none
4868.444487225109,-0.632879411077534,0.21762951939136302,0.0013798629547903483,0.011842457107750783,NOSIP,good
6142.659052415114,-0.6326284656098663,0.2230937775514141,0.0017226700437115393,0.014161514667941529,GNPDA1,good
203.14893363541924,0.6324814538728207,0.7136975730253818,0.06744408659712826,0.20378353720770076,UNC5CL,none
5336.305641862328,0.6324598497246836,0.376702497804662,0.026376834997752976,0.10784704846075058,GDF11,none
9867.5993863528,-0.6321823607136174,0.2979156764233274,0.011266252724528565,0.05877286638028059,NSFL1C,none
5597.887282233273,-0.6321529091049104,0.3189506624434317,0.0151801277143462,0.07299880931196788,TMEM167B,none
3162.007904929823,0.6320517439014369,0.46067911672363,0.040441798153521835,0.1449538806424388,RAB15,none
104.59378313308699,0.6318087498866302,0.4625761424145562,0.04078079672451797,0.14585135136365718,DNAAF8,none
11514.772648187532,0.6312420755275153,0.3396198156264319,0.019392930533833872,0.08634579904450695,CLIP3,none
703.2732631077383,0.6312314794271321,0.6910153470690659,0.0656701493087363,0.20013822633982836,OPLAH,none
2768.525637938695,0.6311009642737596,0.9454965679693674,0.09160471030189006,0.24931540411488923,HEY2,none
8531.091418841543,-0.6310856073808718,0.35390269775018207,0.022258544784869,0.09562346506020918,TAB2,none
3708.6029558079426,-0.6310706471312016,0.4042730702529487,0.03176531942514138,0.12251298806771847,EXOSC9,none
4569.628933733652,0.6310085121384291,0.33151542209924517,0.01782907461898991,0.08124336436207391,LRWD1,none
3693.0629576050987,-0.6309918982157859,0.4446549368296987,0.0383987164358401,0.14012630072755936,MANEA,none
333.45693044000615,-0.6308657538215668,0.5569261633668476,0.05249508481307969,0.17257488861702874,CLIC2,none
6399.424378463763,-0.6304914236207602,0.30148606340606315,0.012136843982918932,0.061888109953250024,SNRNP40,none
3429.594794586829,-0.6304787693251273,0.2551552353600953,0.004863611862867455,0.03127161420294989,SMIM12,good
14128.515035369044,-0.6303423469202368,0.3325942703018147,0.018163918045205757,0.08232391427242837,CERS2,none
7648.729194898082,0.6300053505695938,0.518923788286513,0.04853505893830108,0.16422002873702274,ZNF512B,none
4305.222410033583,-0.6296745442640087,0.29596383319089925,0.011241766303911101,0.058685502925580675,YIF1B,none
1197.2917187238763,0.6296503423211858,0.8823217696791901,0.08536635149484323,0.23776173206433757,GRIN1,none
7651.327842790893,0.6295562414150605,0.7769617191004708,0.07462121063630746,0.21712023394082935,FAM181B,none
6329.388339614282,0.6293646866356923,0.37380495187519547,0.026544441847980185,0.10824051105797781,RIMKLB,none
21090.043170142788,-0.6292987934056895,0.2520431524085852,0.0045627374659777675,0.029980031920083555,ZNF207,good
246.53991526687327,0.6288374029130407,0.5346477096773008,0.05070173609850035,0.16880912139508555,ASB16,none
11966.66534760276,0.628814483033287,0.49979391434267045,0.046601744822832566,0.15946833301414154,PLEKHB1,none
5268.65298665633,0.6287882877440955,0.2579532659453845,0.005339473683563642,0.03350149706712563,RUSF1,good
17341.47143737851,0.6287739917433783,0.42603057213977175,0.03608788715738779,0.13425456521674353,KIF5C,none
19935.96219455333,0.6286443361949936,0.6446326103010258,0.062042068613295344,0.19264290960700736,PLAT,none
7664.719125187361,-0.6285992715123428,0.3205457524135103,0.016075372557064187,0.07589757933620125,ATIC,none
1047.7379930933464,0.6285844323840036,0.8417955011364697,0.0815225447557507,0.23060798194757684,FOXD1,none
6447.353670984775,-0.6284972782611019,0.394023221800691,0.030582176817532752,0.1196564444068306,RNF7,none
2408.5994394004674,-0.6284680048589019,0.30650399312467475,0.013363321425509425,0.06635716090957774,TAF1B,none
9587.95654303081,-0.6281040595139508,0.22724088419552926,0.0021672328057462382,0.016819900460154403,TMED7,good
3022.571163784793,0.6280872639243483,0.2915224562102101,0.010648845614617571,0.056446296364551354,PGS1,none
1794.5298508534652,-0.6278538417892593,0.30166818246643146,0.0125371389829937,0.06354469006587549,NSMCE2,none
4058.858747048111,-0.6277654155428618,0.29441029843935873,0.011208789321426797,0.05863445672971279,PUS7,none
52.95541225812743,0.6275513641146884,0.617254263882674,0.059720475122160804,0.187857499528639,LTC4S,none
470.1178930769049,0.62749835654725306,0.47799760226233173,0.04419165868669078,0.15391972989978542,ZGLP1,none
2025.651870215041,0.6274513521991194,0.4755909960639275,0.04388094572553968,0.1531188545623123,CDO1,none
14598.026741424654,0.6274389765740517,0.30390095288328256,0.013018334961577255,0.06522069695814968,GCN1,none
23518.997118788342,-0.6273971738328982,0.4110172600008532,0.03392364392022312,0.12868583432808364,GPI,none
196.6762947471455,0.6273902188467382,0.794748199356552,0.07715194824928247,0.2223298408837155,CFAP61,none
36872.98647199944,-0.6273754096325901,0.5644633496352448,0.05440969669581238,0.1765545905549683,EXTL3,none
4518.258143491571,0.6272937740422135,0.7344800256786521,0.07121053416903433,0.21124955999088532,ARVCF,none
1199.9390908665687,0.6272089952543922,0.6241974288198878,0.06051765834472499,0.18959758080312994,ZNF503,none
