baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,enrichment
6640.084185513847,-0.3938318234832207,0.27141126538827315,0.09334428134709259,0.25191669670806743,SDHC,none
2726.4838870311273,0.3937966090349189,0.40195873249877717,0.17228598077214413,0.3739391700499934,FOXO1,none
2707.330096544997,-0.393778917055462,0.32370428935587203,0.1333167327626669,0.3185858499232906,ORC2,none
143.0024031125771,0.39376789813539703,0.5642009240995008,0.1951092493947882,0.403146945057606,ZKSCAN8P1,none
6879.486254981523,0.39373013642234495,0.5074382848769866,0.19128109253080933,0.3981437770752364,TSHZ1,none
454.6013803568697,0.3936824291536447,0.706229026382378,0.20675837624315296,0.41846131534543235,SCN5A,none
6280.023584529103,0.3936010398774195,0.5107155841896625,0.19167573659403686,0.39838429315873186,TMEM255A,none
3539.6173068962594,-0.39342187820503444,0.34734395384037137,0.14827042330500348,0.3414426467794482,TIMM17B,none
16665.26881815981,-0.3933135911876784,0.30049063299208145,0.11717688868855798,0.29237396293193046,ANP32E,none
1626.2274322031462,0.3932776608478711,0.65436813592359,0.20210496419775115,0.4121388078185499,PARP10,none
7094.026355502928,-0.393174161286809,0.3296728750120313,0.13782810666135303,0.3257482097331075,NUP85,none
2365.1928653390696,0.3930150870326983,0.454271569440629,0.1858027584653316,0.3916825372203893,CFAP44,none
13943.338493080757,-0.3927841127302314,0.3387383976508823,0.14388003230208074,0.33458114451983784,CD47,none
7688.862935426989,-0.39269494325043525,0.37814129408412506,0.16437446362705727,0.3644814622251973,SLC35B1,none
3542.9333266010653,-0.3926687602030987,0.3032281404782294,0.1198471772679911,0.2964054842062195,DDX10,none
1065.125801502573,0.39265881179777967,0.4997834544061297,0.1917192280242342,0.3984001154096148,TMEM121,none
173.0083923788634,0.39250960301008647,0.6546019698337995,0.20284974259023542,0.41293634563232207,CPEB1,none
3685.181180158116,-0.3924582371329581,0.3635999979008699,0.15789160840550828,0.35519176409942266,RIC1,none
4533.074806806355,0.3924424589288842,0.5465672763808909,0.19531113814395368,0.40342020026055,CX3CL1,none
8068.41857143243,0.39242513494033493,0.3240934140164205,0.13491087679723782,0.32112016717205405,AP2A2,none
6920.634398237286,-0.39241389854628667,0.276713511652421,0.09898991769886702,0.26148085117184194,GFPT1,none
2297.7378494244763,-0.39238660624933003,0.28536146437780563,0.10613294783675165,0.2741933416623347,USE1,none
2047.0401158398597,0.39237061211260277,0.44634051223431687,0.18509090561281372,0.39067024967199093,REXO5,none
250.78020378019252,0.3923616754935585,0.33647596760170806,0.14292698035998327,0.33297708486628186,STAC3,none
379.64968708933986,-0.39234129800254586,0.41867259155156605,0.17886462272590387,0.38269061794950227,GAN,none
4262.981346528831,-0.39228226353377743,0.27214734903657145,0.09526562317592724,0.25521747043805454,MRPS10,none
2876.2730942930675,-0.3922818469456365,0.42553236653743987,0.18070492325924856,0.3849458702075613,PIP4K2A,none
1100.8971347197842,0.39224394558616293,0.37411730543951094,0.16307910750083543,0.3625094747580082,KBTBD7,none
7902.992310280807,0.3919857622748492,0.3825864991305297,0.16699862042865657,0.3682023621246585,MAPRE2,none
7728.789051624385,-0.39189343779982366,0.3186947280669384,0.13176169117303896,0.31588673963424185,CENPE,none
2933.8871070403848,-0.3918802549756716,0.5114612848991466,0.19347859858778124,0.40095824267686286,SIAE,none
10307.353466150384,0.39185527484339966,0.2759265374383507,0.09881289365472304,0.26124056782640415,DIDO1,none
1050.7822382814359,0.39179577195225995,0.289667801211737,0.11013383652875973,0.28117937272220606,FER,none
5089.017867108412,-0.39174266839270167,0.27875074505518715,0.10126926939884418,0.2653314294727528,MAEA,none
902.6818301859774,0.39173439306562885,0.24231750822429574,0.06978243095500096,0.20853666805178275,TIGD6,none
6841.094707690885,-0.39170298145843957,0.3050994820192179,0.12216237553948338,0.3004181036841022,PKD2,none
2625.223462392761,-0.39169885091087386,0.5057693601102785,0.19321027046176495,0.4007304571014852,RASSF4,none
12256.28607712259,0.3916370048605948,0.3967077095870502,0.17277645192757446,0.3744952369099157,UPF1,none
4474.66484956976,0.39162851684078737,0.35573217830359133,0.15472111184228912,0.35097250568558724,LARS2,none
3556.0347636046477,-0.391534231687994,0.21764286859776763,0.048569086607982724,0.16410988346748928,ELF2,none
24882.540218813254,0.39132857241883023,0.23206620865135946,0.061070053821719684,0.19068530691340493,ABI2,none
912.8261132702861,0.3912219434005978,0.38471146043115767,0.16867703038946524,0.3701286637633806,RABL2A,none
1847.909784544804,-0.39119681030435877,0.377053979977177,0.16548623036182075,0.36625109425950936,C1GALT1,none
1501.9565658767858,0.3911683395172872,0.3514678629694253,0.15289380793197405,0.34844177429301837,TTBK2,none
2191.2716192471526,-0.39112894104486934,0.31725868255505035,0.13151354851257094,0.31544398767435433,SHQ1,none
7518.4929333034725,0.391066877195542,0.23040302763011464,0.05979141147895915,0.18835907916721503,ZDHHC3,none
4228.3048810148675,-0.39085273424809747,0.6205673052256626,0.2016908175913126,0.4115707487766796,TPPP3,none
10965.808580043331,-0.3907393163062381,0.2761393457372575,0.09995765322473833,0.26307564776228165,UBE2Z,none
2158.3812303464574,-0.3906862283276821,0.30940637713868424,0.12632292371043663,0.30711666443649,MRM3,none
46937.7667584697,-0.3906799479285536,0.379581310506414,0.16712575056916543,0.36832214928688733,RPS9,none
12611.998628738625,-0.39054628680598796,0.31398582341669495,0.12977155575204888,0.3125297003089395,TFG,none
15433.772658371832,0.3903067734523216,0.3931942124954667,0.17292999479811194,0.3747474958660399,RHOB,none
2448.272269771006,-0.3903016930899467,0.3287215981359622,0.14009236448257137,0.3290835376120896,TRIT1,none
1574.297784115772,-0.39026843317903803,0.3480329847864891,0.15190933079970298,0.3470841220650146,NUDT19,none
38574.52608832239,-0.390243831229548,0.38134183148498063,0.1683343780100755,0.3697509680805971,PHC2,none
3089.797771620025,0.39024025852675476,0.40710361666519823,0.1777380243970392,0.3810321658613363,RPUSD1,none
49.74604153285252,0.39022701233818474,0.8392322023940356,0.2272285701581452,0.4429016614691573,KCP,none
4359.1135186933925,-0.39022188802230007,0.37362729640687736,0.16499848487097377,0.3655447384865917,CUL2,none
1607.0405146074636,0.3901574200859971,0.31435686173729677,0.1304179706521573,0.31365614935167857,UBALD1,none
6162.847035664898,0.3901573051521441,0.26603895667594135,0.09182022766992726,0.24922164083944132,SECISBP2,none
