EXON,TCGA-06-AABW-11A-31R-A36H-07,TCGA-06-0678-11A-32R-A36H-07,TCGA-06-0675-11A-32R-A36H-07,TCGA-06-0681-11A-41R-A36H-07,TCGA-06-0680-11A-32R-A36H-07
chr5:137801181-137801757:+,2.03902606291273,4.65544342538989,4.52797111290971,4.65430950575445,3.60910484661896
chr5:137802446-137805004:+,3.86090322215974,6.219594488321,6.17678550988443,6.19065238875448,5.14756313701396
