pdx_id,bev_resp,staining_type,animal_id,field_n,neg,wk,plus_one,plus_two,has_plus_two,sum,h_score,h_score_alt,rna_tpm
g59,good,,7436,4,0.1,0.8,0.1,0,no,1,1,1,10
g59,good,,7436,5,0.05,0.7,0.25,0,no,1,1.2,1.2,10
g59,good,,7436,6,0.15,0.75,0.1,0,no,1,0.95,0.95,10
g59,good,,7436,7,0.05,0.8,0.15,0,no,1,1.1,1.1,10
g59,good,,7911,1,0,0.55,0.4,0.05,yes,1,1.5,1.45,10
g59,good,,7911,2,0,0.5,0.45,0.05,yes,1,1.55,1.5,10
g59,good,,7911,3,0,0.6,0.4,0,no,1,1.4,1.4,10
g59,good,,7911,4,0,0.65,0.35,0,no,1,1.35,1.35,10
g59,good,,7911,5,0,0.65,0.35,0,no,1,1.35,1.35,10
g59,good,,7911,6,0,0.6,0.35,0.05,yes,1,1.45,1.4,10
g59,good,,7911,7,0,0.5,0.45,0.05,yes,1,1.55,1.5,10
g64,poor,,2747,1,0.1,0.5,0.3,0.1,yes,1,1.4,1.3,641
g64,poor,,2747,2,0.1,0.65,0.25,0,no,1,1.15,1.15,641
g64,poor,,2747,3,0.05,0.6,0.3,0.05,yes,1,1.35,1.3,641
g64,poor,,2747,4,0.05,0.5,0.35,0.1,yes,1,1.5,1.4,641
g64,poor,,2747,5,0,0.6,0.35,0.05,yes,1,1.45,1.4,641
g64,poor,,2747,6,0,0.6,0.4,0,no,1,1.4,1.4,641
g64,poor,,2747,7,0.1,0.65,0.25,0,no,1,1.15,1.15,641
g64,poor,,3132,1,0,0.15,0.85,0,no,1,1.85,1.85,641
g64,poor,,3132,2,0,0.15,0.85,0,no,1,1.85,1.85,641
g64,poor,,3132,3,0,0.15,0.85,0,no,1,1.85,1.85,641
g64,poor,,3132,4,0,0.2,0.8,0,no,1,1.8,1.8,641
g64,poor,,3132,5,0,0.1,0.9,0,no,1,1.9,1.9,641
g64,poor,,3132,6,0,0.3,0.7,0,no,1,1.7,1.7,641
g64,poor,,3132,7,0,0.15,0.85,0,no,1,1.85,1.85,641
g64,poor,,3209,1,0,0.75,0.25,0,no,1,1.25,1.25,641
g64,poor,,3209,2,0.05,0.75,0.2,0,no,1,1.15,1.15,641
g64,poor,,3209,3,0.05,0.7,0.25,0,no,1,1.2,1.2,641
g64,poor,,3209,4,0,0.85,0.15,0,no,1,1.15,1.15,641
g64,poor,,3209,5,0.1,0.7,0.2,0,no,1,1.1,1.1,641
g64,poor,,3209,6,0,0.75,0.25,0,no,1,1.25,1.25,641
g64,poor,,3209,7,0.05,0.8,0.15,0,no,1,1.1,1.1,641
g108,poor,,6451,1,0.05,0.55,0.3,0.1,yes,1,1.45,1.35,459
g108,poor,,6451,2,0.05,0.45,0.35,0.15,yes,1,1.6,1.45,459
g108,poor,,6451,3,0,0.2,0.65,0.15,yes,1,1.95,1.8,459
g108,poor,,6451,4,0,0.15,0.8,0.05,yes,1,1.9,1.85,459
g108,poor,,6451,5,0,0.1,0.8,0.1,yes,1,2,1.9,459
g108,poor,,6451,6,0.05,0.1,0.75,0.1,yes,1,1.9,1.8,459
g108,poor,,6451,7,0,0.2,0.75,0.05,yes,1,1.85,1.8,459
g108,poor,,6495,1,0,0.4,0.5,0.1,yes,1,1.7,1.6,459
g108,poor,,6495,2,0,0.1,0.8,0.1,yes,1,2,1.9,459
g108,poor,,6495,3,0,0.1,0.8,0.1,yes,1,2,1.9,459
g108,poor,,6495,4,0,0.1,0.85,0.05,yes,1,1.95,1.9,459
g108,poor,,6495,5,0,0.05,0.8,0.15,yes,1,2.1,1.95,459
g108,poor,,6495,6,0,0.05,0.85,0.1,yes,1,2.05,1.95,459
g108,poor,,6495,7,0,0.15,0.8,0.05,yes,1,1.9,1.85,459
